Sample,Point No.,Line,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,Cl,SO3,Total
D3_sph21,4,,0.61,20.06,0.67,51.13,13.30,1.70,4.86,6.45,0.18,0.02,0.01,98.98
D3_sph21,5,,1.54,8.56,0.67,62.75,14.93,3.23,2.68,4.99,0.11,0.00,0.00,99.45
D3_sph21,6,,2.07,6.41,0.66,64.97,15.17,3.95,2.23,4.32,0.10,0.02,0.00,99.90
D3_sph21,7,,1.04,15.49,0.61,57.52,13.60,2.82,3.59,4.82,0.12,0.01,0.00,99.61
D3_sph22,1,,1.29,8.00,0.61,63.91,12.22,3.41,3.44,6.03,0.15,0.01,0.00,99.07
D3_sph22,2,,1.40,7.96,0.63,64.45,12.75,2.85,3.30,5.78,0.15,0.00,0.00,99.26
D3_sph22,3,,1.53,7.60,0.57,64.04,13.52,3.54,3.05,5.15,0.18,0.01,0.00,99.19
D3_sph22,4,,1.62,6.60,0.63,65.39,15.25,4.06,2.43,4.49,0.12,0.00,0.00,100.60
D3_sph22,5,,1.48,6.69,0.60,66.68,14.35,3.77,2.38,4.65,0.14,0.00,0.00,100.75
D3_sph22,6,,2.13,5.75,0.59,67.82,14.38,3.92,2.00,3.44,0.12,0.00,0.01,100.15
D3_sph23,1,,0.45,22.37,0.59,50.12,12.32,1.95,4.42,6.29,0.17,0.00,0.00,98.68
D3_sph23,4,,1.36,9.62,0.66,59.38,13.68,4.59,3.59,6.21,0.16,0.04,0.01,99.29
D3_sph23,5,,2.14,6.36,0.60,65.40,14.06,5.08,2.63,4.59,0.11,0.02,0.01,100.99
D3_sph23,6,,2.05,6.12,0.64,65.79,14.86,4.33,2.19,3.66,0.10,0.00,0.00,99.74
D3_sph24,1,,0.98,12.32,0.63,57.66,14.41,2.58,4.21,6.53,0.20,0.03,0.00,99.53
D3_sph24,2,,0.91,11.55,0.75,57.85,14.87,2.49,4.05,6.19,0.22,0.01,0.00,98.90
D3_sph24,3,,1.50,6.77,0.68,63.15,15.27,3.18,2.81,5.22,0.13,0.00,0.00,98.73
D3_sph24,4,,1.56,6.45,0.66,63.66,15.44,3.22,2.54,4.74,0.12,0.01,0.00,98.40
D3_sph24,5,,1.83,5.94,0.66,64.19,15.33,3.39,2.34,4.73,0.12,0.00,0.00,98.52
D3_sph24,6,,1.38,7.54,0.68,63.66,15.01,3.26,2.61,4.60,0.16,0.01,0.00,98.90
D3_sph25,1,,0.69,24.81,0.62,48.28,12.39,2.67,4.51,4.61,0.12,0.47,0.00,99.16
D3_sph25,2,,0.60,24.74,0.60,48.50,12.53,2.45,4.40,4.71,0.15,0.47,0.01,99.15
D3_sph25,3,,0.71,24.86,0.66,47.89,12.38,2.31,4.34,4.80,0.12,0.48,0.01,98.55
D3_sph25,4,,0.62,25.39,0.64,47.02,12.26,2.17,4.36,4.74,0.15,0.50,0.01,97.84
D3_sph25,5,,0.75,24.77,0.61,48.26,12.37,2.60,4.37,4.79,0.13,0.49,0.01,99.13
D3_sph25,6,,0.55,25.08,0.59,47.76,12.36,2.57,4.41,4.78,0.12,0.49,0.00,98.70
